scenario,model,features,fold,acc_any,top2_any,group_acc,avg_cost_any,macro_f1,balanced_acc
B42_with_leak,hier_hgb,43.0,3.0,0.8754884084396979,0.9476426152643918,0.9492055222714249,0.22610054701745247,0.5242384593528036,0.5286875726233986
B42_with_leak,hier_hgb,43.0,4.0,0.8754884084396979,0.9502474602761136,0.9562386038030737,0.21203438395415472,0.5290750846963211,0.5311564276310882
B42_with_leak,hier_hgb,43.0,5.0,0.872883563427976,0.9445168012503256,0.9546756967960406,0.2177650429799427,0.5168446886120651,0.5203184910580776
B42_with_leak,ens_lr_hgb,43.0,1.0,0.8966145833333333,0.9596354166666666,0.96328125,0.17682291666666666,0.5704706118515863,0.5682856385018169
B42_with_leak,ens_lr_hgb,43.0,2.0,0.9005208333333333,0.9619791666666667,0.965625,0.16822916666666668,0.5910610772754182,0.5767832383638861
B42_with_leak,ens_lr_hgb,43.0,3.0,0.9036207345662933,0.9585829643136233,0.9632716853347226,0.16983589476426153,0.5896995325758033,0.5805529354821848
B42_with_leak,ens_lr_hgb,43.0,4.0,0.903099765563949,0.958061995311279,0.963792654337067,0.16931492576191717,0.580433211648139,0.5733885969449916
B42_with_leak,ens_lr_hgb,43.0,5.0,0.8997134670487106,0.9549361812972128,0.963792654337067,0.1727012242771555,0.5828907123706496,0.572585584255244
B42_with_leak,ens_lr_xgb_hgb,43.0,1.0,0.8984375,0.96015625,0.9653645833333333,0.17083333333333334,0.5750586202915897,0.5696104257634181
B42_with_leak,ens_lr_xgb_hgb,43.0,2.0,0.8989583333333333,0.9588541666666667,0.9658854166666667,0.16927083333333334,0.5753738404805612,0.5636709619951099
B42_with_leak,ens_lr_xgb_hgb,43.0,3.0,0.9007554050533993,0.9564990883042459,0.9643136233394113,0.17061734826777808,0.5800086565825728,0.5726407325171975
B42_with_leak,ens_lr_xgb_hgb,43.0,4.0,0.9004949205522271,0.9562386038030737,0.9635321698358947,0.17244073977598334,0.5699011652496148,0.5662979922125184
B42_with_leak,ens_lr_xgb_hgb,43.0,5.0,0.8981505600416775,0.9533732742901797,0.9635321698358947,0.17478510028653296,0.5827372476600474,0.5706126702983981
A48_no_leak,flat_lr,48.0,1.0,0.8721354166666667,0.9502604166666667,0.95390625,0.22005208333333334,0.5332526662671572,0.5409580355334338
A48_no_leak,flat_lr,48.0,2.0,0.8799479166666667,0.9549479166666667,0.9567708333333333,0.20651041666666667,0.5189709203231354,0.5291961026297132
A48_no_leak,flat_lr,48.0,3.0,0.8773117999479031,0.9468611617608752,0.9536337587913519,0.21542068246939308,0.5144424602905401,0.5231580446504277
A48_no_leak,flat_lr,48.0,4.0,0.8822610054701745,0.947903099765564,0.9557176348007294,0.20630372492836677,0.5277031453799437,0.536574654578553
A48_no_leak,flat_lr,48.0,5.0,0.8749674394373534,0.9442563167491534,0.9533732742901797,0.21828601198228706,0.5187316819369362,0.5265741520813029
A48_no_leak,flat_rf,48.0,1.0,0.8403645833333333,0.9333333333333333,0.9411458333333333,0.27734375,0.465648266291762,0.48098500191607035
A48_no_leak,flat_rf,48.0,2.0,0.8481770833333333,0.9348958333333334,0.9463541666666667,0.2591145833333333,0.4580049583221306,0.4737048705629055
A48_no_leak,flat_rf,48.0,3.0,0.8515238343318573,0.9356603282104715,0.9466006772597031,0.2552748111487366,0.4664512211792879,0.4831539116688104
A48_no_leak,flat_rf,48.0,4.0,0.8538681948424068,0.9314925761917165,0.9445168012503256,0.2570982026569419,0.4659447229474561,0.48154569647048645
A48_no_leak,flat_rf,48.0,5.0,0.8491794738213077,0.9367022662151602,0.9473821307632196,0.2560562646522532,0.46760108996155153,0.4813675838898497
A48_no_leak,flat_hgb,48.0,1.0,0.8559895833333333,0.9388020833333334,0.95,0.24401041666666667,0.46660916869380215,0.4824669521227863
A48_no_leak,flat_hgb,48.0,2.0,0.8559895833333333,0.93828125,0.9497395833333333,0.24453125,0.4534069909644123,0.4702480819064692
A48_no_leak,flat_hgb,48.0,3.0,0.859859338369367,0.9351393592081271,0.9494660067725971,0.2412086480854389,0.4606165817848536,0.4780052859164655
A48_no_leak,flat_hgb,48.0,4.0,0.8580359468611618,0.9327949986975775,0.9502474602761136,0.2414691325866111,0.4694136513088559,0.4838760843563104
A48_no_leak,flat_hgb,48.0,5.0,0.8504818963271685,0.9307111226882,0.9489450377702526,0.25162802813232615,0.4652780441167073,0.47798918179750616
A48_no_leak,flat_xgb,48.0,1.0,0.8606770833333334,0.9390625,0.9520833333333333,0.23515625,0.4896657759912275,0.5035437583846382
A48_no_leak,flat_xgb,48.0,2.0,0.8703125,0.9434895833333333,0.95546875,0.21875,0.4827986335355893,0.49527522013881886
A48_no_leak,flat_xgb,48.0,3.0,0.8694972649127377,0.9434748632456369,0.9520708517843188,0.22636103151862463,0.48095233193043446,0.4979776712056784
A48_no_leak,flat_xgb,48.0,4.0,0.870018233915082,0.9413909872362595,0.9531127897890076,0.22375618650690285,0.48893261454764225,0.5043589603453053
A48_no_leak,flat_xgb,48.0,5.0,0.8601198228705392,0.940870018233915,0.9510289137796301,0.23782234957020057,0.48796098813191296,0.497951529247204
A48_no_leak,hier_xgb,48.0,1.0,0.8486979166666667,0.9307291666666667,0.93125,0.28880208333333335,0.4838375917786276,0.49713050570320594
A48_no_leak,hier_xgb,48.0,2.0,0.859375,0.93984375,0.9497395833333333,0.24114583333333334,0.4763582472322581,0.48947830105906587
A48_no_leak,hier_xgb,48.0,3.0,0.8616827298775723,0.9413909872362595,0.9387861422245376,0.2607449856733524,0.49175767252641794,0.504392387259337
A48_no_leak,hier_xgb,48.0,4.0,0.8689762959103934,0.9411305027350872,0.9520708517843188,0.226882000520969,0.5052233986419615,0.514508346357124
A48_no_leak,hier_xgb,48.0,5.0,0.8595988538681948,0.939307111226882,0.9484240687679083,0.24355300859598855,0.4949096572573039,0.5016857645690329
A48_no_leak,hier_hgb,48.0,1.0,0.8338541666666667,0.92109375,0.9234375,0.31927083333333334,0.46443557146345343,0.4823923044142606
A48_no_leak,hier_hgb,48.0,2.0,0.8572916666666667,0.94296875,0.9486979166666667,0.2453125,0.4745481007056852,0.4880659270744749
A48_no_leak,hier_hgb,48.0,3.0,0.8502214118259963,0.932013545194061,0.9330554831987496,0.2836676217765043,0.47416556719880715,0.4893701307488502
A48_no_leak,hier_hgb,48.0,4.0,0.8588174003646784,0.9406095337327429,0.9492055222714249,0.242771555092472,0.48758114463656094,0.4979298802896381
A48_no_leak,hier_hgb,48.0,5.0,0.8517843188330294,0.934878874706955,0.9486845532690805,0.2508465746288096,0.47438471672936877,0.4862199379148809
A48_no_leak,ens_lr_hgb,48.0,1.0,0.87890625,0.9484375,0.9578125,0.20546875,0.520286975715261,0.530871006438804
A48_no_leak,ens_lr_hgb,48.0,2.0,0.88125,0.9494791666666667,0.9588541666666667,0.20104166666666667,0.508769446293352,0.5205874887650837
A48_no_leak,ens_lr_hgb,48.0,3.0,0.8820005209690024,0.9484240687679083,0.955196665798385,0.20760614743422767,0.5100460619460941,0.5229274039469513
A48_no_leak,ens_lr_hgb,48.0,4.0,0.8838239124772076,0.9460797082573587,0.955196665798385,0.2057827559260224,0.5148562698579665,0.529275222053412
