club_name,avg_overall,n_players
CD Antofagasta,63.92307692307692,26
SD Amorebieta,63.92307692307692,26
PEC Zwolle,63.9,30
Portsmouth,63.84,25
Tokushima Vortis,63.8,30
Pau FC,63.77272727272727,22
CD Mirandés,63.76923076923077,26
Brøndby IF,63.75,28
Wycombe Wanderers,63.75,28
Go Ahead Eagles,63.7037037037037,27
Servette FC,63.666666666666664,27
Sport Huancayo,63.666666666666664,27
Djurgårdens IF,63.65217391304348,23
América de Cali,63.65,20
Shanghai Shenhua FC,63.642857142857146,28
Wigan Athletic,63.642857142857146,28
Al Ahli,63.6,30
Avispa Fukuoka,63.6,30
Hull City,63.6,30
Montevideo City Torque,63.6,20
Los Angeles FC,63.56666666666667,30
Oita Trinita,63.56666666666667,30
Yokohama FC,63.56666666666667,30
SC Cambuur,63.52,25
Le Havre AC,63.51851851851852,27
FC Sochaux-Montbéliard,63.5,26
Chicago Fire Football Club,63.48148148148148,27
Burton Albion,63.464285714285715,28
Club Always Ready,63.464285714285715,28
Houston Dynamo,63.43333333333333,30
Deportivo La Guaira FC,63.42857142857143,28
Guangzhou FC,63.42857142857143,28
SV Wehen Wiesbaden,63.42857142857143,28
Club de Foot Montréal,63.41379310344828,29
Carlos A. Mannucci,63.37931034482759,29
Club de Deportes Cobresal,63.36363636363637,22
Hammarby IF,63.36,25
FC Lugano,63.34782608695652,23
Jagiellonia Białystok,63.32142857142857,28
Piast Gliwice,63.32,25
GwangJu FC,63.214285714285715,28
Rodez Aveyron Football,63.2,25
FBC Melgar,63.19230769230769,26
Shanghai Port FC,63.17857142857143,28
Türkgücü München,63.17857142857143,28
Club Nacional,63.166666666666664,24
Metropolitanos de Caracas FC,63.148148148148145,27
Vegalta Sendai,63.1,30
SC Bastia,63.08,25
SK Brann,63.08,25
Western Sydney Wanderers,63.04761904761905,21
St. Mirren,63.041666666666664,24
Chamois Niortais Football Club,63.03846153846154,26
Club Deportivo Guabirá,63.03846153846154,26
Eintracht Braunschweig,63.03846153846154,26
Sepsi OSK Sf. Gheorghe,63.035714285714285,28
Oxford United,63.0,28
Sunderland,63.0,28
BK Häcken,63.0,24
Club River Plate Asunción,63.0,20
Shonan Bellmare,62.96666666666667,30
Hallescher FC,62.964285714285715,28
Incheon United FC,62.964285714285715,28
Śląsk Wrocław,62.964285714285715,28
Randers FC,62.96296296296296,27
Suwon FC,62.857142857142854,28
1. FC Kaiserslautern,62.82142857142857,28
Lechia Gdańsk,62.82142857142857,28
Shrewsbury Town,62.81818181818182,22
Sarpsborg 08 FF,62.8,25
Sagan Tosu,62.766666666666666,30
MSV Duisburg,62.76,25
Motherwell,62.75,28
VfL Osnabrück,62.74074074074074,27
Viking FK,62.73076923076923,26
AS Nancy Lorraine,62.724137931034484,29
Cracovia,62.714285714285715,28
USL Dunkerque,62.666666666666664,27
Club Atlético Palmaflor,62.65384615384615,26
SC Rheindorf Altach,62.642857142857146,28
HJK Helsinki,62.64,25
TSV Egger Glas Hartberg,62.629629629629626,27
Club Social y Deportivo Macará,62.61904761904762,21
Bolton Wanderers,62.607142857142854,28
Wellington Phoenix,62.578947368421055,19
1. FC Saarbrücken,62.55555555555556,27
FSV Zwickau,62.541666666666664,24
SK Austria Klagenfurt,62.535714285714285,28
SV Waldhof Mannheim 07,62.51851851851852,27
FC Flyeralarm Admira,62.5,28
Gillingham,62.5,22
Stabæk Fotball,62.48,25
Gaz Metan Mediaş,62.464285714285715,28
Club Atlético Nacional Potosí,62.458333333333336,24
TSV 1860 München,62.42857142857143,28
Sydney FC,62.407407407407405,27
Jeju United FC,62.392857142857146,28
IFK Norrköping,62.36363636363637,22
FC Farul Constanța,62.32142857142857,28
SV Meppen,62.32142857142857,28
Doncaster Rovers,62.25925925925926,27
Zagłębie Lubin,62.25,28
Club Independiente Santa Fe,62.24,25
Górnik Zabrze,62.23076923076923,26
Vejle Boldklub,62.214285714285715,28
Viktoria Köln,62.214285714285715,28
Damac FC,62.2,30
AFC Chindia Târgoviște,62.2,25
Deportivo Táchira FC,62.18518518518518,27
Wisła Płock,62.17857142857143,28
Kristiansund BK,62.130434782608695,23
1. FC Magdeburg,62.107142857142854,28
Peterborough United,62.1,30
Macarthur FC,62.095238095238095,21
US Quevilly Rouen Métropole,62.07692307692308,26
Northampton Town,62.04545454545455,22
